Wordline,Bitline,Resistance,AmplitudeV,PulseWidths,Tag,ReadTag,ReadVoltage
27,3,93854.2890625,-3.5,0.0001,P,2,0.5
27,3,90757.3671875,-3.5,0.0001,P,2,0.5
27,3,88277.1484375,-3.5,0.0001,P,2,0.5
27,3,90005.6640625,-3.5,0.0001,P,2,0.5
27,3,88882.921875,-3.5,0.0001,P,2,0.5
27,3,84704.3125,-3.5,0.0001,P,2,0.5
27,3,86263.359375,-3.5,0.0001,P,2,0.5
27,3,87156.4609375,-3.5,0.0001,P,2,0.5
27,3,82342.84375,-3.5,0.0001,P,2,0.5
27,3,85977.734375,-3.5,0.0001,P,2,0.5
27,3,82674.46875,-3.5,0.0001,P,2,0.5
27,3,90055.34375,-3.5,0.0001,P,2,0.5
27,3,86620.3125,-3.5,0.0001,P,2,0.5
27,3,89061.8828125,-3.5,0.0001,P,2,0.5
27,3,84250.765625,-3.5,0.0001,P,2,0.5
27,3,86927.1328125,-3.5,0.0001,P,2,0.5
27,3,88726.1953125,-3.5,0.0001,P,2,0.5
27,3,85136.7421875,-3.5,0.0001,P,2,0.5
27,3,85498.6484375,-3.5,0.0001,P,2,0.5
27,3,88096.359375,-3.5,0.0001,P,2,0.5
27,3,86273.4921875,-3.5,0.0001,P,2,0.5
27,3,80828.6640625,-3.5,0.0001,P,2,0.5
27,3,83463.8984375,-3.5,0.0001,P,2,0.5
27,3,80705.515625,-3.5,0.0001,P,2,0.5
27,3,79096.28125,-3.5,0.0001,P,2,0.5
27,3,81172.8203125,-3.5,0.0001,P,2,0.5
27,3,85694.265625,-3.5,0.0001,P,2,0.5
27,3,82114.6796875,-3.5,0.0001,P,2,0.5
27,3,91290.21875,-3.5,0.0001,P,2,0.5
27,3,84975.8515625,-3.5,0.0001,P,2,0.5
27,3,85719.3203125,-3.5,0.0001,P,2,0.5
27,3,86874.953125,-3.5,0.0001,P,2,0.5
27,3,83194.359375,-3.5,0.0001,P,2,0.5
27,3,88806.875,-3.5,0.0001,P,2,0.5
27,3,83952.015625,-3.5,0.0001,P,2,0.5
27,3,84915.9140625,-3.5,0.0001,P,2,0.5
27,3,91168.828125,-3.5,0.0001,P,2,0.5
27,3,86406.234375,-3.5,0.0001,P,2,0.5
27,3,83325.5703125,-3.5,0.0001,P,2,0.5
27,3,86355.0078125,-3.5,0.0001,P,2,0.5
27,3,85013.8046875,-3.5,0.0001,P,2,0.5
27,3,85788.484375,-3.5,0.0001,P,2,0.5
27,3,85810.671875,-3.5,0.0001,P,2,0.5
27,3,83181.109375,-3.5,0.0001,P,2,0.5
27,3,85084.5390625,-3.5,0.0001,P,2,0.5
27,3,79651.65625,-3.5,0.0001,P,2,0.5
27,3,83659.203125,-3.5,0.0001,P,2,0.5
27,3,85963.375,-3.5,0.0001,P,2,0.5
27,3,79497.5,-3.5,0.0001,P,2,0.5
27,3,85371.96875,-3.5,0.0001,P,2,0.5
27,3,83681.5390625,-3.5,0.0001,P,2,0.5
27,3,86115.0078125,-3.5,0.0001,P,2,0.5
27,3,82001,-3.5,0.0001,P,2,0.5
27,3,87715.5546875,-3.5,0.0001,P,2,0.5
27,3,81184.5859375,-3.5,0.0001,P,2,0.5
27,3,87169.03125,-3.5,0.0001,P,2,0.5
27,3,82804.3125,-3.5,0.0001,P,2,0.5
27,3,86112.09375,-3.5,0.0001,P,2,0.5
27,3,89487.5625,-3.5,0.0001,P,2,0.5
27,3,83490.296875,-3.5,0.0001,P,2,0.5
27,3,84267.1640625,-3.5,0.0001,P,2,0.5
27,3,86402.625,-3.5,0.0001,P,2,0.5
27,3,80488.9921875,-3.5,0.0001,P,2,0.5
27,3,84002.6875,-3.5,0.0001,P,2,0.5
27,3,84443.640625,-3.5,0.0001,P,2,0.5
27,3,81116.953125,-3.5,0.0001,P,2,0.5
27,3,85758.0625,-3.5,0.0001,P,2,0.5
27,3,87055.7578125,-3.5,0.0001,P,2,0.5
27,3,83241.9921875,-3.5,0.0001,P,2,0.5
27,3,82760,-3.5,0.0001,P,2,0.5
27,3,81855.3984375,-3.5,0.0001,P,2,0.5
27,3,83621.1875,-3.5,0.0001,P,2,0.5
27,3,80736.6875,-3.5,0.0001,P,2,0.5
27,3,77142.7734375,-3.5,0.0001,P,2,0.5
27,3,81257.28125,-3.5,0.0001,P,2,0.5
27,3,81430.484375,-3.5,0.0001,P,2,0.5
27,3,84629.1796875,-3.5,0.0001,P,2,0.5
27,3,83082.046875,-3.5,0.0001,P,2,0.5
27,3,80024.6640625,-3.5,0.0001,P,2,0.5
27,3,79271.46875,-3.5,0.0001,P,2,0.5
27,3,79224.1640625,-3.5,0.0001,P,2,0.5
27,3,80331.296875,-3.5,0.0001,P,2,0.5
27,3,79981.2734375,-3.5,0.0001,P,2,0.5
27,3,84845.8984375,-3.5,0.0001,P,2,0.5
27,3,78629.7109375,-3.5,0.0001,P,2,0.5
27,3,79710.9609375,-3.5,0.0001,P,2,0.5
27,3,84363.8359375,-3.5,0.0001,P,2,0.5
27,3,83427.9765625,-3.5,0.0001,P,2,0.5
27,3,79016.75,-3.5,0.0001,P,2,0.5
27,3,79865.890625,-3.5,0.0001,P,2,0.5
27,3,80409.4375,-3.5,0.0001,P,2,0.5
27,3,83518.890625,-3.5,0.0001,P,2,0.5
27,3,73783.2109375,-3.5,0.0001,P,2,0.5
27,3,78025.8125,-3.5,0.0001,P,2,0.5
27,3,80167.9921875,-3.5,0.0001,P,2,0.5
27,3,79454.9765625,-3.5,0.0001,P,2,0.5
27,3,78704.2890625,-3.5,0.0001,P,2,0.5
27,3,81411.734375,-3.5,0.0001,P,2,0.5
27,3,76646.6875,-3.5,0.0001,P,2,0.5
27,3,76982.796875,-3.5,0.0001,P,2,0.5
27,3,81951.421875,0.5,0.0001,P,2,0.5
27,3,82433.03125,0.5,0.0001,P,2,0.5
27,3,83038.21875,0.5,0.0001,P,2,0.5
27,3,83227.21875,0.5,0.0001,P,2,0.5
27,3,83251.734375,0.5,0.0001,P,2,0.5
27,3,83116.9453125,0.5,0.0001,P,2,0.5
27,3,85057.2734375,0.5,0.0001,P,2,0.5
27,3,83323.9453125,0.5,0.0001,P,2,0.5
27,3,84728.765625,0.5,0.0001,P,2,0.5
27,3,86097.578125,0.5,0.0001,P,2,0.5
27,3,85857.765625,0.5,0.0001,P,2,0.5
27,3,85616.953125,0.5,0.0001,P,2,0.5
27,3,86869.734375,0.5,0.0001,P,2,0.5
27,3,84660.328125,0.5,0.0001,P,2,0.5
27,3,86775.3359375,0.5,0.0001,P,2,0.5
27,3,86436.6953125,0.5,0.0001,P,2,0.5
27,3,90302.6640625,0.5,0.0001,P,2,0.5
27,3,89005.7265625,0.5,0.0001,P,2,0.5
27,3,91388.53125,0.5,0.0001,P,2,0.5
27,3,90962.3515625,0.5,0.0001,P,2,0.5
27,3,91702.078125,0.5,0.0001,P,2,0.5
27,3,90265.2265625,0.5,0.0001,P,2,0.5
27,3,91462.03125,0.5,0.0001,P,2,0.5
27,3,92662.109375,0.5,0.0001,P,2,0.5
27,3,92584.5625,0.5,0.0001,P,2,0.5
27,3,91413.703125,0.5,0.0001,P,2,0.5
27,3,90987.8203125,0.5,0.0001,P,2,0.5
27,3,91187.7734375,0.5,0.0001,P,2,0.5
27,3,91308.9453125,0.5,0.0001,P,2,0.5
27,3,93121.65625,0.5,0.0001,P,2,0.5
27,3,92726.8359375,0.5,0.0001,P,2,0.5
27,3,92852.65625,0.5,0.0001,P,2,0.5
27,3,92953.3515625,0.5,0.0001,P,2,0.5
27,3,93621.6171875,0.5,0.0001,P,2,0.5
27,3,92307.7734375,0.5,0.0001,P,2,0.5
27,3,94755.1796875,0.5,0.0001,P,2,0.5
27,3,93548.2265625,0.5,0.0001,P,2,0.5
27,3,92542.3671875,0.5,0.0001,P,2,0.5
27,3,93467.296875,0.5,0.0001,P,2,0.5
27,3,94667.46875,0.5,0.0001,P,2,0.5
27,3,93954.484375,0.5,0.0001,P,2,0.5
27,3,93471.0546875,0.5,0.0001,P,2,0.5
27,3,92266.921875,0.5,0.0001,P,2,0.5
27,3,94000.484375,0.5,0.0001,P,2,0.5
27,3,92571.7421875,0.5,0.0001,P,2,0.5
27,3,94529.4609375,0.5,0.0001,P,2,0.5
27,3,93772.171875,0.5,0.0001,P,2,0.5
27,3,93250.6015625,0.5,0.0001,P,2,0.5
27,3,93026.4296875,0.5,0.0001,P,2,0.5
27,3,94212.6015625,0.5,0.0001,P,2,0.5
27,3,93155.1171875,0.5,0.0001,P,2,0.5
27,3,93040.6640625,0.5,0.0001,P,2,0.5
27,3,93397.7421875,0.5,0.0001,P,2,0.5
27,3,93268.3515625,0.5,0.0001,P,2,0.5
27,3,94359.84375,0.5,0.0001,P,2,0.5
27,3,92414.5859375,0.5,0.0001,P,2,0.5
27,3,94416.375,0.5,0.0001,P,2,0.5
27,3,93862.75,0.5,0.0001,P,2,0.5
27,3,94286.7265625,0.5,0.0001,P,2,0.5
27,3,93361.203125,0.5,0.0001,P,2,0.5
27,3,94349.2421875,0.5,0.0001,P,2,0.5
27,3,94107.078125,0.5,0.0001,P,2,0.5
27,3,94760.21875,0.5,0.0001,P,2,0.5
27,3,97165.0234375,0.5,0.0001,P,2,0.5
27,3,97030.09375,0.5,0.0001,P,2,0.5
27,3,97159.3203125,0.5,0.0001,P,2,0.5
27,3,96628.671875,0.5,0.0001,P,2,0.5
27,3,96633.125,0.5,0.0001,P,2,0.5
27,3,97173.59375,0.5,0.0001,P,2,0.5
27,3,97784.9921875,0.5,0.0001,P,2,0.5
27,3,98021.2578125,0.5,0.0001,P,2,0.5
27,3,96858.7578125,0.5,0.0001,P,2,0.5
27,3,99145.359375,0.5,0.0001,P,2,0.5
27,3,97719.671875,0.5,0.0001,P,2,0.5
27,3,97153.671875,0.5,0.0001,P,2,0.5
27,3,96252.5546875,0.5,0.0001,P,2,0.5
27,3,97021.5859375,0.5,0.0001,P,2,0.5
27,3,95698.0078125,0.5,0.0001,P,2,0.5
27,3,98244.78125,0.5,0.0001,P,2,0.5
27,3,97239.109375,0.5,0.0001,P,2,0.5
27,3,96061.1875,0.5,0.0001,P,2,0.5
27,3,96929.4921875,0.5,0.0001,P,2,0.5
27,3,96475.6171875,0.5,0.0001,P,2,0.5
27,3,96904.0703125,0.5,0.0001,P,2,0.5
27,3,96020.2734375,0.5,0.0001,P,2,0.5
27,3,96827.5859375,0.5,0.0001,P,2,0.5
27,3,96809.078125,0.5,0.0001,P,2,0.5
27,3,98313.75,0.5,0.0001,P,2,0.5
27,3,98347.8984375,0.5,0.0001,P,2,0.5
27,3,98415.828125,0.5,0.0001,P,2,0.5
27,3,97310.59375,0.5,0.0001,P,2,0.5
27,3,98377.90625,0.5,0.0001,P,2,0.5
27,3,98188.84375,0.5,0.0001,P,2,0.5
27,3,97231.8515625,0.5,0.0001,P,2,0.5
27,3,97794.84375,0.5,0.0001,P,2,0.5
27,3,99350.3046875,0.5,0.0001,P,2,0.5
27,3,99038.4375,0.5,0.0001,P,2,0.5
27,3,98808.859375,0.5,0.0001,P,2,0.5
27,3,98982.1015625,0.5,0.0001,P,2,0.5
27,3,98406.1953125,0.5,0.0001,P,2,0.5
27,3,98880.078125,0.5,0.0001,P,2,0.5
27,3,98393.9296875,0.5,0.0001,P,2,0.5
27,3,99106.609375,0.5,0.0001,P,2,0.5
27,3,99473.8515625,0.5,0.0001,P,2,0.5
27,3,100319.1875,0.5,0.0001,P,2,0.5
27,3,98316.0234375,0.5,0.0001,P,2,0.5
27,3,97888.578125,0.5,0.0001,P,2,0.5
27,3,99763.2109375,0.5,0.0001,P,2,0.5
27,3,98184.109375,0.5,0.0001,P,2,0.5
27,3,99411.234375,0.5,0.0001,P,2,0.5
27,3,98867.703125,0.5,0.0001,P,2,0.5
27,3,101714,0.5,0.0001,P,2,0.5
27,3,101169.828125,0.5,0.0001,P,2,0.5
27,3,100045.453125,0.5,0.0001,P,2,0.5
27,3,100185.84375,0.5,0.0001,P,2,0.5
27,3,100258.546875,0.5,0.0001,P,2,0.5
27,3,101774.84375,0.5,0.0001,P,2,0.5
27,3,99081.6171875,0.5,0.0001,P,2,0.5
27,3,100031.8125,0.5,0.0001,P,2,0.5
