,Rbin,mean,v,npt
0,67600,-245.015625,0.70,2.0
1,67100,49.80859375,0.70,2.0
2,66900,186.1484375,0.70,1.0
3,67400,413.26953125,0.70,2.0
4,67000,278.40625,0.70,1.0
5,67200,168.6875,0.70,1.0
6,68600,205.44921875,0.70,2.0
7,69000,189.89453125,0.70,2.0
8,68800,203.5390625,0.70,1.0
9,69600,-416.9140625,0.70,1.0
10,69200,548.28125,0.70,1.0
11,69800,-681.9765625,0.70,1.0
12,69100,1200.2421875,0.70,1.0
13,70300,274.796875,0.70,2.0
14,69500,491.1796875,0.70,1.0
15,70000,-303.71875,0.70,1.0
16,69700,1066.59375,0.70,1.0
17,70800,-876.9296875,0.70,1.0
18,69900,295.11328125,0.70,2.0
19,70500,275.2109375,0.70,2.0
20,71600,115.779296875,0.70,4.0
21,71300,305.0833333333333,0.70,3.0
22,70900,270.0546875,0.70,1.0
23,71200,237.671875,0.70,1.0
24,71400,161.19921875,0.70,2.0
25,71500,996.421875,0.70,1.0
26,72500,-1037.33984375,0.70,2.0
27,72300,-449.828125,0.70,1.0
28,71800,698.5234375,0.70,1.0
29,73300,-1629.6015625,0.70,1.0
30,71700,511.953125,0.70,1.0
31,72200,209.234375,0.70,1.0
32,72400,707.8828125,0.70,1.0
33,73100,-427.65625,0.70,1.0
34,72700,1185.125,0.70,1.0
35,73900,781.4375,0.70,1.0
36,74600,1153.2473958333333,0.70,3.0
37,74500,1356.1796875,0.70,4.0
38,75400,-307.40625,0.70,3.0
39,74900,196.28125,0.70,2.0
40,75100,605.98046875,0.70,4.0
41,75700,-166.416015625,0.70,4.0
42,75800,-172.080078125,0.70,4.0
43,75300,-252.078125,0.70,1.0
44,75000,324.2838541666667,0.70,3.0
45,74700,-45.96484375,0.70,2.0
46,75200,449.3265625,0.70,5.0
47,75600,1404.1026785714287,0.70,7.0
48,75500,-187.80859375,0.70,2.0
49,76000,52.947265625,0.70,4.0
50,74800,1296.375,0.70,1.0
51,76100,805.1875,0.70,5.0
52,75900,991.9973958333334,0.70,3.0
53,77500,1337.5375,0.70,5.0
54,76800,2021.1390625,0.70,5.0
55,77600,210.40494791666666,0.70,6.0
56,76700,886.296875,0.70,3.0
57,78200,191.796875,0.70,4.0
58,77400,73.765625,0.70,2.0
59,77300,1093.537109375,0.70,4.0
60,76600,469.1953125,0.70,2.0
61,78100,1197.796875,0.70,6.0
62,79200,1424.2610677083333,0.70,12.0
63,78400,1074.560546875,0.70,4.0
64,77800,1120.9375,0.70,4.0
65,79000,1049.8921875,0.70,5.0
66,78000,2089.8390625,0.70,5.0
67,78800,965.7096354166666,0.70,6.0
68,78600,-357.8411458333333,0.70,3.0
69,78700,655.9752604166666,0.70,6.0
70,78900,1144.23828125,0.70,4.0
71,79300,250.6765625,0.70,5.0
72,79500,177.24479166666666,0.70,6.0
73,79700,-184.9328125,0.70,10.0
74,79100,614.03125,0.70,7.0
75,79800,745.2220982142857,0.70,14.0
76,80400,669.9098011363636,0.70,11.0
77,79600,1268.9778645833333,0.70,6.0
78,80100,580.15625,0.70,15.0
79,80700,617.8857421875,0.70,8.0
80,80300,348.8923611111111,0.70,9.0
81,79400,988.3984375,0.70,4.0
82,80600,990.9739583333334,0.70,9.0
83,80900,370.05965909090907,0.70,11.0
84,80800,551.1788194444445,0.70,9.0
85,81100,707.2197265625,0.70,8.0
86,80000,369.7822265625,0.70,8.0
87,84400,252.1611328125,0.70,24.0
88,82700,732.8695913461538,0.70,13.0
89,82100,843.7897135416666,0.70,12.0
90,83000,141.9296875,0.70,22.0
91,83300,643.7020596590909,0.70,22.0
92,82200,687.30546875,0.70,10.0
93,82900,443.4718070652174,0.70,23.0
94,82600,988.6493055555555,0.70,9.0
95,81700,1184.1028645833333,0.70,12.0
96,82400,616.4308035714286,0.70,14.0
97,82300,320.2310855263158,0.70,19.0
98,85500,151.2765625,0.70,25.0
99,83900,601.596484375,0.70,20.0
100,83100,560.4175347222222,0.70,18.0
101,82800,954.54609375,0.70,10.0
102,83500,569.6953125,0.70,13.0
103,84000,67.38645833333334,0.70,15.0
104,84100,500.8106398809524,0.70,21.0
105,83400,333.8728693181818,0.70,22.0
106,82500,596.126953125,0.70,8.0
107,83200,270.30357142857144,0.70,14.0
108,83800,410.3072916666667,0.70,24.0
109,72900,2339.4921875,0.70,1.0
110,81400,656.6776041666667,0.70,15.0
111,81500,696.5234375,0.70,11.0
112,81900,556.109375,0.70,7.0
113,81600,445.2795138888889,0.70,9.0
114,81300,366.79296875,0.70,8.0
115,82000,788.6181640625,0.70,8.0
116,84700,-15.790900735294118,0.70,17.0
117,83600,425.946875,0.70,15.0
118,84200,245.8999255952381,0.70,21.0
119,87200,627.771484375,0.70,40.0
120,84600,405.1654211956522,0.70,23.0
121,84300,704.4185267857143,0.70,21.0
122,86100,257.7575,0.70,25.0
123,87300,714.0810267857142,0.70,35.0
124,86400,190.18255208333332,0.70,30.0
125,85900,399.1995738636364,0.70,33.0
126,86600,469.7253787878788,0.70,33.0
127,87100,790.1936961206897,0.70,29.0
128,88200,175.81828703703704,0.70,27.0
129,87900,440.3364955357143,0.70,42.0
130,87500,132.151611328125,0.70,32.0
131,89400,352.47484375,0.70,50.0
132,87700,271.59581801470586,0.70,34.0
133,88500,300.5390625,0.70,39.0
134,88100,232.28053977272728,0.70,33.0
135,86300,80.30902777777777,0.70,18.0
136,87800,510.0095486111111,0.70,45.0
137,89000,99.15950520833333,0.70,48.0
138,87400,62.70853365384615,0.70,26.0
139,88000,409.2505580357143,0.70,42.0
