,Rbin,std,v_index,npt,v
0,67600,374.9102250937987,0,2.0,0.70
1,67100,265.6014604114689,0,2.0,0.70
2,66900,,0,1.0,0.70
3,67400,1161.7488201308574,0,2.0,0.70
4,67000,,0,1.0,0.70
5,67200,,0,1.0,0.70
6,68600,335.7486628138656,0,2.0,0.70
7,69000,568.0995316943827,0,2.0,0.70
8,68800,,0,1.0,0.70
9,69600,,0,1.0,0.70
10,69200,,0,1.0,0.70
11,69800,,0,1.0,0.70
12,69100,,0,1.0,0.70
13,70300,1425.2952514595029,0,2.0,0.70
14,69500,,0,1.0,0.70
15,70000,,0,1.0,0.70
16,69700,,0,1.0,0.70
17,70800,,0,1.0,0.70
18,69900,437.87034997804153,0,2.0,0.70
19,70500,678.2037915055474,0,2.0,0.70
20,71600,1175.4755400494375,0,4.0,0.70
21,71300,668.9691071193876,0,3.0,0.70
22,70900,,0,1.0,0.70
23,71200,,0,1.0,0.70
24,71400,358.3097885510989,0,2.0,0.70
25,71500,,0,1.0,0.70
26,72500,198.15010261234588,0,2.0,0.70
27,72300,,0,1.0,0.70
28,71800,,0,1.0,0.70
29,73300,,0,1.0,0.70
30,71700,,0,1.0,0.70
31,72200,,0,1.0,0.70
32,72400,,0,1.0,0.70
33,73100,,0,1.0,0.70
34,72700,,0,1.0,0.70
35,73900,,0,1.0,0.70
36,74600,1664.1804269088368,0,3.0,0.70
37,74500,851.3628613701549,0,4.0,0.70
38,75400,249.70160463525636,0,3.0,0.70
39,74900,18.970349114020344,0,2.0,0.70
40,75100,1420.8138826359288,0,4.0,0.70
41,75700,847.2557194887146,0,4.0,0.70
42,75800,283.4026101572985,0,4.0,0.70
43,75300,,0,1.0,0.70
44,75000,568.1617158625769,0,3.0,0.70
45,74700,212.44691784446138,0,2.0,0.70
46,75200,616.4544633790251,0,5.0,0.70
47,75600,1670.0388854134203,0,7.0,0.70
48,75500,178.70466612971583,0,2.0,0.70
49,76000,776.6415420605094,0,4.0,0.70
50,74800,,0,1.0,0.70
51,76100,1617.6873089641706,0,5.0,0.70
52,75900,661.7636497059225,0,3.0,0.70
53,77500,1728.409499773555,0,5.0,0.70
54,76800,1598.4014448905882,0,5.0,0.70
55,77600,1091.4866104924035,0,6.0,0.70
56,76700,553.6429745548351,0,3.0,0.70
57,78200,898.4850185123906,0,4.0,0.70
58,77400,1018.9961144070952,0,2.0,0.70
59,77300,1530.4333712408315,0,4.0,0.70
60,76600,582.8327643930118,0,2.0,0.70
61,78100,1393.0471710083248,0,6.0,0.70
62,79200,2347.583168840718,0,12.0,0.70
63,78400,1445.2840451221327,0,4.0,0.70
64,77800,952.7760980255277,0,4.0,0.70
65,79000,1967.180477381478,0,5.0,0.70
66,78000,1293.3821432183126,0,5.0,0.70
67,78800,658.5364336791312,0,6.0,0.70
68,78600,864.2359483580902,0,3.0,0.70
69,78700,595.3550449326638,0,6.0,0.70
70,78900,1739.2225341031906,0,4.0,0.70
71,79300,519.4116813653401,0,5.0,0.70
72,79500,777.982979237382,0,6.0,0.70
73,79700,835.8598820257495,0,10.0,0.70
74,79100,869.4995117186129,0,7.0,0.70
75,79800,1118.97503745333,0,14.0,0.70
76,80400,1245.2543661313478,0,11.0,0.70
77,79600,1155.8236438526785,0,6.0,0.70
78,80100,1178.3944146340725,0,15.0,0.70
79,80700,1058.6931683509235,0,8.0,0.70
80,80300,1161.9759020762378,0,9.0,0.70
81,79400,711.1362677437115,0,4.0,0.70
82,80600,1319.070909608424,0,9.0,0.70
83,80900,1286.731502822128,0,11.0,0.70
84,80800,1352.8285030353795,0,9.0,0.70
85,81100,1532.1420247150184,0,8.0,0.70
86,80000,1975.0904778357653,0,8.0,0.70
87,84400,1446.9398066343601,0,24.0,0.70
88,82700,798.026322674868,0,13.0,0.70
89,82100,896.3538870575363,0,12.0,0.70
90,83000,712.0905665134577,0,22.0,0.70
91,83300,1120.9285560776214,0,22.0,0.70
92,82200,1181.687550029293,0,10.0,0.70
93,82900,1282.5098077480254,0,23.0,0.70
94,82600,1187.0146775302778,0,9.0,0.70
95,81700,1355.8014897907963,0,12.0,0.70
96,82400,1020.9300757336032,0,14.0,0.70
97,82300,1245.3691681092346,0,19.0,0.70
98,85500,1152.84892241967,0,25.0,0.70
99,83900,1203.126378033096,0,20.0,0.70
100,83100,1111.0303123532244,0,18.0,0.70
101,82800,1542.5139342179498,0,10.0,0.70
102,83500,1369.0705162261213,0,13.0,0.70
103,84000,1197.7355548489923,0,15.0,0.70
104,84100,1180.9769643396658,0,21.0,0.70
105,83400,1168.543311257933,0,22.0,0.70
106,82500,1362.0504092520127,0,8.0,0.70
107,83200,1060.158934261317,0,14.0,0.70
108,83800,999.733573043884,0,24.0,0.70
109,72900,,0,1.0,0.70
110,81400,942.9447841488001,0,15.0,0.70
111,81500,978.6538747646161,0,11.0,0.70
112,81900,1687.1099118899645,0,7.0,0.70
113,81600,1197.5334224601863,0,9.0,0.70
114,81300,645.6621478495829,0,8.0,0.70
115,82000,1159.923897077595,0,8.0,0.70
116,84700,922.0561094878967,0,17.0,0.70
117,83600,926.9123436769147,0,15.0,0.70
118,84200,930.2486897316387,0,21.0,0.70
119,87200,1232.3357030752973,0,40.0,0.70
120,84600,1219.8344437189317,0,23.0,0.70
121,84300,860.1556016707203,0,21.0,0.70
122,86100,1282.9573133239792,0,25.0,0.70
123,87300,943.2458618758155,0,35.0,0.70
124,86400,1069.6560475580295,0,30.0,0.70
125,85900,1452.6508426914352,0,33.0,0.70
126,86600,1085.480320457548,0,33.0,0.70
127,87100,1051.4282965051561,0,29.0,0.70
128,88200,1151.2160864949574,0,27.0,0.70
129,87900,1068.9832211235191,0,42.0,0.70
130,87500,1143.1814905304711,0,32.0,0.70
131,89400,1032.7083516325283,0,50.0,0.70
132,87700,1063.872195832756,0,34.0,0.70
133,88500,1126.301771199157,0,39.0,0.70
134,88100,822.0562437273489,0,33.0,0.70
135,86300,1041.8756293714846,0,18.0,0.70
136,87800,1235.6563809896145,0,45.0,0.70
137,89000,1358.9908713217608,0,48.0,0.70
138,87400,1022.5097536920407,0,26.0,0.70
139,88000,1152.8114681776244,0,42.0,0.70
140,88300,1101.6698765436236,0,49.0,0.70
141,90400,1084.6935062629698,0,56.0,0.70
142,89100,1034.7715817560006,0,44.0,0.70
143,88700,1104.3519138819945,0,41.0,0.70
144,88800,1086.5248166346437,0,55.0,0.70
145,88400,1020.5674928791641,0,36.0,0.70
146,88900,954.7410392855307,0,42.0,0.70
147,88600,1136.2738706554258,0,40.0,0.70
148,89700,1256.993451403432,0,55.0,0.70
149,89900,995.6865092218596,0,53.0,0.70
150,90000,1210.316260828577,0,64.0,0.70
151,89200,1142.4750002562487,0,53.0,0.70
152,90200,1333.917565159316,0,51.0,0.70
153,90800,968.3743194053725,0,46.0,0.70
154,90500,1258.763244120288,0,62.0,0.70
155,90100,1068.131282237094,0,67.0,0.70
156,89300,1226.6293479693875,0,45.0,0.70
157,91400,1064.063593545195,0,68.0,0.70
158,91000,1206.6070261937118,0,49.0,0.70
159,92200,969.7850475360341,0,77.0,0.70
160,91500,962.0152018545484,0,86.0,0.70
161,93000,1115.2511116483172,0,84.0,0.70
162,90300,1391.141853209256,0,67.0,0.70
163,91900,1144.6529662067676,0,75.0,0.70
164,92800,1078.4550343104913,0,63.0,0.70
165,91700,1077.3226511915652,0,78.0,0.70
166,91800,1051.056268067575,0,73.0,0.70
167,91600,1135.6281622755735,0,68.0,0.70
168,92400,1013.913474661946,0,79.0,0.70
169,90600,1039.1582422318318,0,71.0,0.70
170,92100,1082.4036753372002,0,72.0,0.70
171,92500,1096.9915906263584,0,83.0,0.70
172,92700,1002.5304050720904,0,75.0,0.70
173,91200,1235.1516070817918,0,61.0,0.70
174,93600,1277.2001372109714,0,77.0,0.70
175,93100,1242.3107104494957,0,66.0,0.70
176,92900,1050.3568429887039,0,67.0,0.70
177,92300,1250.5873742305519,0,76.0,0.70
178,93500,1150.6349064820397,0,88.0,0.70
179,93800,1172.2024978971149,0,96.0,0.70
180,94000,1303.4678218654615,0,109.0,0.70
181,93300,1192.1189352096876,0,86.0,0.70
182,77700,2688.425506342982,0,2.0,0.70
183,81200,1077.0278221497315,0,7.0,0.70
184,81800,1043.2660497008621,0,10.0,0.70
185,85200,1058.1238731357987,0,23.0,0.70
186,85700,963.5681162064584,0,29.0,0.70
187,86800,948.8611892780516,0,22.0,0.70
188,85600,922.7895172397845,0,23.0,0.70
189,86700,1173.5640953062532,0,28.0,0.70
190,86000,992.1612202441831,0,29.0,0.70
191,86500,1023.9020507381645,0,25.0,0.70
192,87600,983.6676029011728,0,37.0,0.70
193,90700,1024.6801968865607,0,52.0,0.70
194,92000,1182.656025055073,0,89.0,0.70
195,95900,1370.3090193356156,0,96.0,0.70
196,91100,1224.2367866026934,0,57.0,0.70
197,92600,1295.5081196637275,0,67.0,0.70
198,93400,1074.4821808978932,0,88.0,0.70
199,94500,1084.9150301869624,0,93.0,0.70
200,93200,1236.8587677820612,0,76.0,0.70
201,93700,1234.941233721654,0,94.0,0.70
202,93900,1357.2615219223924,0,82.0,0.70
203,98000,1128.8669529873066,0,101.0,0.70
204,99400,1336.6062157488095,0,92.0,0.70
205,94300,1054.7710983297645,0,86.0,0.70
206,95100,1069.4393188548809,0,102.0,0.70
207,96400,1146.1202658734935,0,101.0,0.70
208,94400,1122.2290504935575,0,106.0,0.70
209,95500,1165.1774344988746,0,97.0,0.70
210,94700,1195.1478218279117,0,85.0,0.70
211,95200,1118.0863851635338,0,97.0,0.70
212,94900,1194.143176881063,0,105.0,0.70
213,95400,1113.1182880907163,0,95.0,0.70
214,95000,1341.058032423727,0,107.0,0.70
215,101600,1478.3910033473514,0,79.0,0.70
216,95700,1213.4986653345454,0,109.0,0.70
217,100600,1249.1662735623527,0,92.0,0.70
218,96700,1170.798070510246,0,97.0,0.70
219,96600,1157.1700840748583,0,111.0,0.70
220,95300,1231.7424161645538,0,83.0,0.70
221,94800,1018.3720561649207,0,82.0,0.70
222,96800,1332.3177341903627,0,101.0,0.70
223,99200,1229.8285822334312,0,97.0,0.70
224,99000,1361.917467405781,0,93.0,0.70
225,96100,1185.7025585543367,0,91.0,0.70
226,96200,1099.0285878739494,0,85.0,0.70
227,100100,1218.260139053079,0,100.0,0.70
228,98400,1344.757083647418,0,74.0,0.70
229,98200,1309.2182148271813,0,85.0,0.70
230,99300,1361.437060383899,0,84.0,0.70
231,96500,1262.5278840574467,0,71.0,0.70
232,99100,1215.4842135925098,0,92.0,0.70
233,96000,1213.1129057400535,0,116.0,0.70
234,97000,1115.592421623583,0,89.0,0.70
235,97900,1306.8504964817487,0,93.0,0.70
236,102200,1518.4635343551013,0,65.0,0.70
237,100900,1377.156453593133,0,115.0,0.70
238,99500,1373.7019888843936,0,85.0,0.70
239,95800,1191.5381164232822,0,91.0,0.70
240,96900,1244.0390451937674,0,88.0,0.70
241,73800,2413.3830655483266,0,2.0,0.70
242,85400,1399.100021056922,0,15.0,0.70
243,84500,1211.6876750130314,0,19.0,0.70
244,85100,957.0137021681727,0,22.0,0.70
